Datetime,Water Level (m)
2024-03-01 00:00:00,0.5954073
2024-03-01 01:00:00,0.27685052
2024-03-01 02:00:00,-0.13703422
2024-03-01 03:00:00,-0.6424732
2024-03-01 04:00:00,-1.1238463
2024-03-01 05:00:00,-1.470463
2024-03-01 06:00:00,-1.4608685
2024-03-01 07:00:00,-0.9523453
2024-03-01 08:00:00,-0.43140665
2024-03-01 09:00:00,0.0810763
2024-03-01 10:00:00,0.45870763
2024-03-01 11:00:00,0.77312654
2024-03-01 12:00:00,0.8466724
2024-03-01 13:00:00,0.6456304
2024-03-01 14:00:00,0.25074804
2024-03-01 15:00:00,-0.22230057
2024-03-01 16:00:00,-0.6996861
2024-03-01 17:00:00,-1.12244
2024-03-01 18:00:00,-1.2873678
2024-03-01 19:00:00,-0.9636011
2024-03-01 20:00:00,-0.5535496
2024-03-01 21:00:00,-0.11701993
2024-03-01 22:00:00,0.23963442
2024-03-01 23:00:00,0.5277445
2024-03-02 00:00:00,0.6243208
2024-03-02 01:00:00,0.44400382
2024-03-02 02:00:00,0.08034104
2024-03-02 03:00:00,-0.38161597
2024-03-02 04:00:00,-0.85695416
2024-03-02 05:00:00,-1.2862028
2024-03-02 06:00:00,-1.4944113
2024-03-02 07:00:00,-1.1925521
2024-03-02 08:00:00,-0.74429256
2024-03-02 09:00:00,-0.26232085
2024-03-02 10:00:00,0.17001197
2024-03-02 11:00:00,0.5163944
2024-03-02 12:00:00,0.76517904
2024-03-02 13:00:00,0.7748377
2024-03-02 14:00:00,0.5385151
2024-03-02 15:00:00,0.14497268
2024-03-02 16:00:00,-0.28800216
2024-03-02 17:00:00,-0.7239679
2024-03-02 18:00:00,-1.0626009
2024-03-02 19:00:00,-1.1043189
2024-03-02 20:00:00,-0.78782916
2024-03-02 21:00:00,-0.44201455
2024-03-02 22:00:00,-0.07371539
2024-03-02 23:00:00,0.21057323
2024-03-03 00:00:00,0.42068622
2024-03-03 01:00:00,0.431476
2024-03-03 02:00:00,0.21019667
2024-03-03 03:00:00,-0.1412327
2024-03-03 04:00:00,-0.5665639
2024-03-03 05:00:00,-1.0031215
2024-03-03 06:00:00,-1.3046026
2024-03-03 07:00:00,-1.3460692
2024-03-03 08:00:00,-1.0214386
2024-03-03 09:00:00,-0.6226437
2024-03-03 10:00:00,-0.17548737
2024-03-03 11:00:00,0.20829548
2024-03-03 12:00:00,0.5274204
2024-03-03 13:00:00,0.7286001
2024-03-03 14:00:00,0.70917344
2024-03-03 15:00:00,0.47879297
2024-03-03 16:00:00,0.11359393
2024-03-03 17:00:00,-0.2728837
2024-03-03 18:00:00,-0.65758896
2024-03-03 19:00:00,-0.9466613
2024-03-03 20:00:00,-1.0140415
2024-03-03 21:00:00,-0.80028284
2024-03-03 22:00:00,-0.5333468
2024-03-03 23:00:00,-0.22363074
2024-03-04 00:00:00,0.042067565
2024-03-04 01:00:00,0.22445421
2024-03-04 02:00:00,0.2559313
2024-03-04 03:00:00,0.093755804
2024-03-04 04:00:00,-0.22076292
2024-03-04 05:00:00,-0.5632718
2024-03-04 06:00:00,-0.91395265
2024-03-04 07:00:00,-1.201445
2024-03-04 08:00:00,-1.2386914
2024-03-04 09:00:00,-1.0051451
2024-03-04 10:00:00,-0.689827
2024-03-04 11:00:00,-0.28259304
2024-03-04 12:00:00,0.0933777
2024-03-04 13:00:00,0.42364222
2024-03-04 14:00:00,0.6592992
2024-03-04 15:00:00,0.7185218
2024-03-04 16:00:00,0.576489
2024-03-04 17:00:00,0.2672456
2024-03-04 18:00:00,-0.08819196
2024-03-04 19:00:00,-0.45805955
2024-03-04 20:00:00,-0.7830588
2024-03-04 21:00:00,-1.004382
2024-03-04 22:00:00,-0.9941381
2024-03-04 23:00:00,-0.81056666
2024-03-05 00:00:00,-0.5732035
2024-03-05 01:00:00,-0.2886695
2024-03-05 02:00:00,-0.06549017
2024-03-05 03:00:00,0.080440335
2024-03-05 04:00:00,0.09801128
2024-03-05 05:00:00,-0.04017776
2024-03-05 06:00:00,-0.30990672
2024-03-05 07:00:00,-0.6127365
2024-03-05 08:00:00,-0.92468494
2024-03-05 09:00:00,-1.1421201
2024-03-05 10:00:00,-1.1113261
2024-03-05 11:00:00,-0.8760152
2024-03-05 12:00:00,-0.5291196
2024-03-05 13:00:00,-0.11231271
2024-03-05 14:00:00,0.24280429
2024-03-05 15:00:00,0.5601048
2024-03-05 16:00:00,0.76598775
2024-03-05 17:00:00,0.7716873
2024-03-05 18:00:00,0.5631395
2024-03-05 19:00:00,0.20661835
2024-03-05 20:00:00,-0.18527097
2024-03-05 21:00:00,-0.5976777
2024-03-05 22:00:00,-0.95371836
2024-03-05 23:00:00,-1.1507664
2024-03-06 00:00:00,-1.0528305
2024-03-06 01:00:00,-0.7968206
2024-03-06 02:00:00,-0.49294624
2024-03-06 03:00:00,-0.16867939
2024-03-06 04:00:00,0.07951473
2024-03-06 05:00:00,0.24105656
2024-03-06 06:00:00,0.23998769
2024-03-06 07:00:00,0.049293224
2024-03-06 08:00:00,-0.27932587
